type,tag,location,startH,startM,startS,endH,endM,endS
1,'Xgti','Funken',9,45,37,10,27,36,
1,'Xgti','Funken',10,27,36,10,33,38,
1,'Xgti','Funken',10,33,38,11,55,36,
1,'Xgti','Funken',11,57,38,12,3,38,
1,'Xgti','Funken',12,9,36,12,15,38,
1,'Xgti','Stanzen',12,15,38,12,35,38,
1,'Xgti','Funken',12,35,38,13,1,38,
1,'Xgti','Stanzen',13,1,38,13,9,36,
1,'Xgti','Funken',13,9,36,13,23,38,
1,'Xgti','Stanzen',13,25,38,13,31,36,
1,'Xgti','Funken',13,33,38,14,33,36,
1,'Xgti','Funken',14,33,36,16,35,38,
1,'Xgti','Funken',16,35,38,16,43,36,
1,'Xgti','Funken',16,43,36,17,19,38,
1,'Xgti','Funken',17,23,36,20,51,39,
1,'Xgti','Funken',20,53,37,21,51,39,
1,'Xgti','Funken',21,51,39,21,59,37,
1,'Xgti','Funken',21,59,37,22,59,39,
