type,tag,location,startH,startM,startS,endH,endM,endS
1,'lwFq','Roboter',0,14,13,0,26,14,
1,'lwFq','Funken',0,26,14,0,34,56,
1,'lwFq','Funken',0,35,34,0,42,56,
1,'lwFq','Funken',0,44,54,1,12,53,
1,'lwFq','Roboter',1,12,53,1,33,37,
1,'lwFq','Stanzen',1,33,37,1,50,55,
1,'lwFq','Stanzen',1,52,57,2,2,15,
1,'lwFq','Funken',2,2,15,2,12,17,
1,'lwFq','Stanzen',2,12,17,2,56,54,
1,'lwFq','Roboter',2,56,54,3,20,15,
1,'lwFq','Funken',3,20,15,3,39,37,
1,'lwFq','Stanzen',3,39,37,4,2,55,
1,'lwFq','Funken',4,2,55,4,10,57,
1,'lwFq','Stanzen',4,10,57,4,28,55,
1,'lwFq','Funken',4,28,55,4,48,54,
1,'lwFq','Roboter',4,48,54,5,28,17,
1,'lwFq','Funken',5,29,35,5,35,34,
1,'lwFq','Roboter',5,35,34,5,53,35,
1,'lwFq','Roboter',5,57,34,6,7,37,
1,'lwFq','Roboter',6,11,34,6,27,37,
1,'lwFq','Roboter',6,29,34,6,45,37,
1,'lwFq','Funken',6,45,37,7,1,34,
1,'lwFq','Roboter',7,1,34,7,55,37,
1,'lwFq','Roboter',8,3,34,11,37,38,
1,'lwFq','Funken',11,37,38,12,9,35,
1,'lwFq','Roboter',12,9,35,14,20,18,
1,'lwFq','Funken',14,20,18,14,27,35,
1,'lwFq','Roboter',14,27,35,14,39,36,
1,'lwFq','Roboter',14,43,35,14,53,36,
1,'lwFq','Roboter',14,57,35,15,17,39,
1,'lwFq','Roboter',15,21,35,19,59,37,
1,'lwFq','Roboter',20,3,36,21,22,20,
