type,tag,location,startH,startM,startS,endH,endM,endS
1,'n4gK','Roboter',0,4,13,10,29,36,
1,'n4gK','Funken',10,29,36,10,34,58,
1,'n4gK','Funken',10,42,18,10,59,38,
1,'n4gK','Roboter',11,2,15,11,7,36,
1,'n4gK','Funken',11,10,58,11,26,55,
1,'n4gK','Roboter',11,55,35,12,43,36,
1,'n4gK','Stanzen',12,51,38,12,57,36,
1,'n4gK','Funken',12,57,36,13,15,35,
1,'n4gK','Funken',13,23,36,13,39,38,
1,'n4gK','Roboter',13,44,15,13,58,16,
1,'n4gK','Roboter',13,59,35,14,27,38,
1,'n4gK','Roboter',14,29,35,15,5,38,
1,'n4gK','Roboter',15,7,35,16,22,19,
1,'n4gK','Roboter',16,25,35,16,39,36,
1,'n4gK','Funken',16,39,36,16,45,35,
1,'n4gK','Funken',16,48,56,17,1,35,
1,'n4gK','Roboter',17,9,35,18,35,38,
1,'n4gK','Funken',18,35,38,18,41,35,
1,'n4gK','Roboter',18,41,35,18,54,19,
1,'n4gK','Roboter',18,55,35,19,4,17,
1,'n4gK','Funken',19,4,17,20,7,39,
1,'n4gK','Funken',20,7,39,20,17,36,
1,'n4gK','Funken',20,20,19,20,26,16,
1,'n4gK','Funken',20,32,19,20,47,36,
1,'n4gK','Funken',20,51,39,21,18,17,
1,'n4gK','Funken',21,18,17,21,23,39,
1,'n4gK','Funken',21,23,39,21,36,17,
1,'n4gK','Funken',21,36,17,21,45,36,
1,'n4gK','Funken',21,47,37,21,55,39,
1,'n4gK','Funken',22,10,17,22,15,36,
1,'n4gK','Roboter',22,15,36,22,32,57,
1,'n4gK','Roboter',22,36,56,22,45,39,
1,'n4gK','Roboter',22,47,36,23,5,39,
1,'n4gK','Funken',23,5,39,23,13,36,
1,'n4gK','Roboter',23,13,36,23,26,19,
1,'n4gK','Funken',23,26,19,23,33,36,
1,'n4gK','Roboter',23,33,36,23,39,39,
