type,tag,location,startH,startM,startS,endH,endM,endS
1,'ofEz','Funken',0,25,36,0,35,33,
1,'ofEz','Roboter',0,35,33,2,43,37,
1,'ofEz','Roboter',2,50,14,3,1,35,
1,'ofEz','Roboter',3,6,14,3,21,35,
1,'ofEz','Roboter',3,23,34,3,35,37,
1,'ofEz','Roboter',3,42,14,3,50,57,
1,'ofEz','Stanzen',3,50,57,3,57,34,
1,'ofEz','Roboter',4,7,34,5,23,37,
1,'ofEz','Roboter',5,25,34,5,42,15,
1,'ofEz','Roboter',5,43,34,6,11,35,
1,'ofEz','Roboter',6,13,34,7,11,35,
1,'ofEz','Roboter',7,18,14,8,6,15,
1,'ofEz','Funken',8,6,15,8,29,34,
1,'ofEz','Funken',8,33,35,8,51,34,
1,'ofEz','Roboter',8,51,34,9,25,35,
1,'ofEz','Roboter',9,27,34,9,35,37,
1,'ofEz','Funken',9,38,15,9,52,15,
1,'ofEz','Roboter',9,52,15,11,7,38,
1,'ofEz','Roboter',11,9,35,11,21,38,
1,'ofEz','Funken',11,27,38,12,28,15,
1,'ofEz','Funken',12,29,38,12,44,15,
1,'ofEz','Funken',12,45,38,12,52,56,
1,'ofEz','Roboter',12,57,35,13,10,16,
1,'ofEz','Roboter',13,17,35,13,26,56,
1,'ofEz','Roboter',13,28,15,13,41,36,
1,'ofEz','Roboter',13,44,55,13,52,58,
1,'ofEz','Funken',13,52,58,14,0,15,
1,'ofEz','Funken',14,3,36,14,9,38,
1,'ofEz','Funken',14,9,38,14,14,56,
1,'ofEz','Funken',14,15,38,14,24,15,
1,'ofEz','Roboter',14,24,15,17,4,58,
1,'ofEz','Roboter',17,5,35,21,3,39,
