type,tag,location,startH,startM,startS,endH,endM,endS
1,'pMaq','Funken',5,3,35,5,9,34,
1,'pMaq','Roboter',5,9,34,6,55,35,
1,'pMaq','Funken',6,55,35,7,41,34,
1,'pMaq','Roboter',7,41,34,7,46,57,
1,'pMaq','Stanzen',7,46,57,8,12,14,
1,'pMaq','Roboter',8,12,14,8,24,58,
1,'pMaq','Roboter',8,33,34,8,46,18,
1,'pMaq','Stanzen',8,46,18,9,0,14,
1,'pMaq','Roboter',9,0,14,9,11,38,
1,'pMaq','Funken',9,14,17,9,22,18,
1,'pMaq','Stanzen',9,22,18,10,18,17,
1,'pMaq','Funken',10,18,17,10,24,15,
1,'pMaq','Roboter',10,24,15,10,38,58,
1,'pMaq','Roboter',10,40,55,13,6,16,
1,'pMaq','Funken',13,6,16,13,50,15,
1,'pMaq','Roboter',13,50,15,13,58,56,
1,'pMaq','Funken',13,58,56,14,10,15,
1,'pMaq','Roboter',14,10,15,14,21,39,
1,'pMaq','Stanzen',14,21,39,15,14,56,
1,'pMaq','Funken',15,14,56,16,16,15,
1,'pMaq','Roboter',16,16,15,16,28,19,
1,'pMaq','Stanzen',16,28,19,16,54,15,
1,'pMaq','Roboter',16,54,15,17,4,16,
1,'pMaq','Funken',17,4,16,17,15,35,
1,'pMaq','Roboter',17,15,35,17,21,39,
1,'pMaq','Stanzen',17,21,39,17,34,15,
1,'pMaq','Roboter',17,34,15,17,53,38,
1,'pMaq','Funken',17,53,38,18,1,35,
1,'pMaq','Roboter',18,1,35,18,45,39,
1,'pMaq','Stanzen',18,45,39,19,54,17,
1,'pMaq','Funken',19,54,17,20,20,19,
1,'pMaq','Funken',20,20,19,20,28,16,
1,'pMaq','Roboter',20,28,16,21,19,37,
1,'pMaq','Funken',21,19,37,21,52,59,
1,'pMaq','Funken',21,52,59,22,8,56,
1,'pMaq','Roboter',22,8,56,23,2,17,
1,'pMaq','Funken',23,2,17,23,44,56,
