type,tag,location,startH,startM,startS,endH,endM,endS
1,'Hf6q','Funken',0,31,19,0,56,7,
1,'Hf6q','Funken',1,4,39,1,14,47,
1,'Hf6q','Roboter',1,14,47,3,3,18,
1,'Hf6q','Stanzen',3,3,18,3,46,7,
1,'Hf6q','Roboter',3,46,7,4,2,0,
1,'Hf6q','Funken',4,2,0,4,9,50,
1,'Hf6q','Funken',4,9,50,4,16,0,
1,'Hf6q','Funken',4,16,0,4,26,7,
1,'Hf6q','Roboter',4,26,7,4,32,30,
1,'Hf6q','Funken',4,32,30,5,0,40,
1,'Hf6q','Funken',5,0,40,5,13,27,
1,'Hf6q','Roboter',5,13,27,5,24,0,
1,'Hf6q','Funken',5,24,0,5,37,58,
1,'Hf6q','Stanzen',5,37,58,5,45,11,
1,'Hf6q','Funken',5,50,0,6,13,18,
1,'Hf6q','Stanzen',6,13,18,6,18,40,
1,'Hf6q','Funken',6,18,40,6,24,38,
1,'Hf6q','Stanzen',6,24,38,6,30,40,
1,'Hf6q','Funken',6,30,40,6,42,31,
1,'Hf6q','Funken',6,42,31,7,23,20,
1,'Hf6q','Funken',7,25,51,8,6,38,
1,'Hf6q','Stanzen',8,6,38,8,17,20,
1,'Hf6q','Funken',8,17,20,8,35,18,
1,'Hf6q','Funken',8,38,31,8,48,8,
1,'Hf6q','Roboter',8,48,8,8,53,51,
1,'Hf6q','Funken',8,53,51,9,26,8,
1,'Hf6q','Roboter',9,26,8,9,42,31,
1,'Hf6q','Roboter',9,46,48,10,1,19,
1,'Hf6q','Stanzen',10,1,19,10,11,11,
1,'Hf6q','Funken',10,11,11,10,31,19,
1,'Hf6q','Stanzen',10,31,19,10,58,31,
1,'Hf6q','Stanzen',10,59,19,11,21,12,
1,'Hf6q','Funken',11,25,11,11,30,39,
1,'Hf6q','Stanzen',11,30,39,11,37,12,
1,'Hf6q','Funken',11,37,12,12,11,19,
1,'Hf6q','Stanzen',12,11,19,12,18,8,
1,'Hf6q','Roboter',12,18,8,12,27,12,
1,'Hf6q','Roboter',12,29,28,12,57,59,
1,'Hf6q','Roboter',13,6,48,13,11,59,
1,'Hf6q','Funken',13,15,12,13,23,19,
1,'Hf6q','Roboter',13,26,8,13,31,59,
1,'Hf6q','Roboter',13,34,48,14,1,20,
1,'Hf6q','Stanzen',14,1,20,14,16,8,
1,'Hf6q','Roboter',14,16,8,14,21,20,
1,'Hf6q','Stanzen',14,21,20,14,27,12,
1,'Hf6q','Funken',14,27,12,14,33,28,
1,'Hf6q','Roboter',14,33,28,17,34,41,
1,'Hf6q','Funken',17,34,41,17,52,9,
1,'Hf6q','Roboter',17,52,9,18,49,20,
1,'Hf6q','Stanzen',18,49,20,19,3,29,
1,'Hf6q','Roboter',19,3,29,20,41,54,
1,'Hf6q','Roboter',20,48,9,21,40,1,
1,'Hf6q','Roboter',21,42,49,22,4,1,
1,'Hf6q','Stanzen',22,4,1,22,19,54,
1,'Hf6q','Stanzen',22,21,21,23,8,49,
