type,tag,location,startH,startM,startS,endH,endM,endS
1,'ox0d','Funken',0,7,19,0,23,27,
1,'ox0d','Roboter',0,23,27,0,31,19,
1,'ox0d','Roboter',0,35,27,0,43,19,
1,'ox0d','Funken',0,43,19,0,59,27,
1,'ox0d','Funken',1,3,19,1,27,27,
1,'ox0d','Roboter',1,27,27,1,33,19,
1,'ox0d','Funken',1,33,19,2,37,10,
1,'ox0d','Funken',2,37,10,2,43,27,
1,'ox0d','Roboter',2,43,27,2,53,19,
1,'ox0d','Funken',2,53,19,3,14,7,
1,'ox0d','Roboter',3,14,7,3,19,19,
1,'ox0d','Funken',3,19,19,3,27,27,
1,'ox0d','Roboter',3,27,27,3,37,20,
1,'ox0d','Funken',3,37,20,4,19,27,
1,'ox0d','Roboter',4,19,27,4,27,20,
1,'ox0d','Funken',4,27,20,4,37,27,
1,'ox0d','Roboter',4,37,27,4,57,51,
1,'ox0d','Funken',4,59,20,5,7,27,
1,'ox0d','Roboter',5,7,27,5,13,20,
1,'ox0d','Funken',5,13,20,5,47,27,
1,'ox0d','Funken',5,51,20,6,15,27,
1,'ox0d','Roboter',6,15,27,6,23,20,
1,'ox0d','Roboter',6,25,28,7,1,20,
1,'ox0d','Funken',7,1,20,7,13,11,
1,'ox0d','Funken',7,15,20,7,33,28,
1,'ox0d','Roboter',7,33,28,8,27,20,
1,'ox0d','Funken',8,27,20,8,49,11,
1,'ox0d','Funken',8,51,20,9,5,28,
1,'ox0d','Roboter',9,5,28,9,13,20,
1,'ox0d','Funken',9,13,20,9,45,28,
1,'ox0d','Roboter',9,45,28,9,51,21,
1,'ox0d','Roboter',9,53,28,10,3,11,
1,'ox0d','Funken',10,3,11,10,11,28,
1,'ox0d','Roboter',10,11,28,10,17,21,
1,'ox0d','Funken',10,21,21,11,1,11,
1,'ox0d','Funken',11,3,21,11,17,12,
1,'ox0d','Roboter',11,23,28,11,47,21,
1,'ox0d','Funken',11,47,21,11,54,8,
1,'ox0d','Funken',11,57,12,12,5,21,
1,'ox0d','Funken',12,5,21,12,17,12,
1,'ox0d','Funken',12,17,12,12,25,21,
1,'ox0d','Funken',12,27,12,12,35,28,
1,'ox0d','Roboter',12,35,28,12,45,12,
1,'ox0d','Funken',12,45,12,12,53,28,
1,'ox0d','Roboter',12,53,28,13,1,21,
1,'ox0d','Funken',13,7,12,13,17,21,
1,'ox0d','Funken',13,17,21,13,25,12,
1,'ox0d','Roboter',13,29,28,14,7,21,
1,'ox0d','Funken',14,7,21,14,29,28,
1,'ox0d','Roboter',14,29,28,15,39,12,
1,'ox0d','Roboter',15,41,28,16,7,12,
1,'ox0d','Funken',16,7,12,16,29,29,
1,'ox0d','Roboter',16,29,29,16,47,12,
1,'ox0d','Funken',16,47,12,18,19,29,
1,'ox0d','Roboter',18,19,29,18,31,14,
1,'ox0d','Funken',18,31,14,19,25,29,
1,'ox0d','Funken',19,27,22,19,35,14,
1,'ox0d','Funken',19,35,14,19,57,29,
1,'ox0d','Roboter',19,57,29,20,13,14,
1,'ox0d','Roboter',20,19,29,20,27,22,
1,'ox0d','Roboter',20,29,29,20,41,14,
1,'ox0d','Funken',20,41,14,20,57,29,
1,'ox0d','Roboter',20,57,29,21,9,14,
1,'ox0d','Funken',21,9,14,21,29,29,
1,'ox0d','Roboter',21,29,29,21,49,14,
1,'ox0d','Funken',21,53,14,22,17,22,
1,'ox0d','Funken',22,19,15,23,3,22,
1,'ox0d','Funken',23,3,22,23,15,12,
1,'ox0d','Funken',23,15,12,23,59,29,
