type,tag,location,startH,startM,startS,endH,endM,endS
0,'ox0d','Funken',0,7,19,0,23,27,
0,'GmK6','Roboter',0,21,27,1,2,30,
0,'ox0d','Roboter',0,23,27,0,31,19,
0,'Hf6q','Funken',0,31,19,0,56,7,
0,'ox0d','Roboter',0,35,27,0,43,19,
0,'ox0d','Funken',0,43,19,0,59,27,
0,'pMaq','Roboter',0,45,27,0,57,17,
0,'pMaq','Stanzen',0,57,17,1,2,47,
0,'pMaq','Roboter',1,2,47,1,9,57,
0,'ox0d','Funken',1,3,19,1,27,27,
0,'Hf6q','Funken',1,4,39,1,14,47,
0,'GmK6','Roboter',1,6,47,1,38,30,
0,'oiFK','Funken',1,9,19,2,14,7,
0,'pMaq','Roboter',1,13,27,1,28,30,
0,'Hf6q','Roboter',1,14,47,3,3,18,
0,'ox0d','Roboter',1,27,27,1,33,19,
0,'pMaq','Roboter',1,30,47,1,35,50,
0,'ox0d','Funken',1,33,19,2,37,10,
0,'pMaq','Funken',1,35,50,1,43,57,
0,'GmK6','Funken',1,38,30,1,52,7,
0,'pMaq','Stanzen',1,49,57,2,4,30,
0,'GmK6','Roboter',1,52,7,1,58,30,
0,'GmK6','Funken',1,58,30,2,17,27,
0,'pMaq','Funken',2,11,10,2,38,47,
0,'GmK6','Roboter',2,17,27,2,25,10,
0,'oiFK','Funken',2,17,59,2,23,27,
0,'oiFK','Roboter',2,23,27,3,20,39,
0,'GmK6','Funken',2,25,10,2,32,7,
0,'GmK6','Funken',2,33,50,2,48,7,
0,'ox0d','Funken',2,37,10,2,43,27,
0,'ox0d','Roboter',2,43,27,2,53,19,
0,'pMaq','Funken',2,45,10,3,14,38,
0,'lwFq','Stanzen',2,47,17,6,42,53,
0,'GmK6','Roboter',2,48,7,4,22,0,
0,'ox0d','Funken',2,53,19,3,14,7,
0,'Hf6q','Stanzen',3,3,18,3,46,7,
0,'ox0d','Roboter',3,14,7,3,19,19,
0,'ox0d','Funken',3,19,19,3,27,27,
0,'oiFK','Funken',3,20,39,5,40,47,
0,'ox0d','Roboter',3,27,27,3,37,20,
0,'pMaq','Funken',3,29,10,3,34,38,
0,'pMaq','Funken',3,35,10,3,41,58,
0,'ox0d','Funken',3,37,20,4,19,27,
0,'pMaq','Stanzen',3,41,58,3,52,30,
0,'Hf6q','Roboter',3,46,7,4,2,0,
0,'pMaq','Roboter',3,54,47,4,5,10,
0,'Hf6q','Funken',4,2,0,4,9,50,
0,'pMaq','Funken',4,5,10,4,15,27,
0,'Hf6q','Funken',4,9,50,4,16,0,
0,'pMaq','Roboter',4,15,27,4,25,50,
0,'Hf6q','Funken',4,16,0,4,26,7,
0,'ox0d','Roboter',4,19,27,4,27,20,
0,'GmK6','Roboter',4,25,27,6,37,51,
0,'pMaq','Funken',4,25,50,4,41,27,
0,'Hf6q','Roboter',4,26,7,4,32,30,
0,'ox0d','Funken',4,27,20,4,37,27,
