type,tag,location,startH,startM,startS,endH,endM,endS
1,'GmK6','Funken',9,11,32,9,22,11,
1,'GmK6','Roboter',9,22,11,11,10,54,
1,'GmK6','Stanzen',11,10,54,11,38,11,
1,'GmK6','Roboter',11,38,11,11,48,14,
1,'GmK6','Stanzen',11,48,14,12,0,51,
1,'GmK6','Stanzen',12,11,34,12,20,11,
1,'GmK6','Roboter',12,20,11,16,7,33,
1,'GmK6','Funken',16,7,33,16,34,52,
1,'GmK6','Funken',16,37,33,16,51,32,
1,'GmK6','Roboter',16,51,32,16,58,13,
1,'GmK6','Roboter',16,59,32,17,5,33,
1,'GmK6','Funken',17,5,33,17,22,12,
1,'GmK6','Funken',17,26,13,18,19,32,
1,'GmK6','Roboter',18,25,32,20,10,14,
1,'GmK6','Funken',20,10,14,20,23,33,
