type,tag,location,startH,startM,startS,endH,endM,endS
1,'lwFq','Stanzen',9,29,34,9,37,31,
1,'lwFq','Roboter',9,37,31,12,27,34,
1,'lwFq','Stanzen',12,27,34,12,35,31,
1,'lwFq','Roboter',12,35,31,13,10,54,
1,'lwFq','Stanzen',13,10,54,13,20,52,
1,'lwFq','Stanzen',13,22,15,13,29,32,
1,'lwFq','Roboter',13,29,32,13,37,35,
1,'lwFq','Stanzen',13,37,35,14,3,32,
1,'lwFq','Stanzen',14,8,15,14,23,32,
1,'lwFq','Roboter',14,23,32,15,41,35,
1,'lwFq','Roboter',15,44,52,15,50,15,
1,'lwFq','Stanzen',15,50,15,16,4,52,
1,'lwFq','Roboter',16,4,52,16,51,35,
1,'lwFq','Stanzen',16,51,35,16,58,12,
1,'lwFq','Roboter',16,58,12,17,13,35,
1,'lwFq','Roboter',17,18,12,17,39,35,
1,'lwFq','Stanzen',17,39,35,17,46,52,
1,'lwFq','Roboter',17,49,32,18,15,35,
1,'lwFq','Roboter',18,24,12,18,29,35,
1,'lwFq','Roboter',18,32,52,18,52,15,
1,'lwFq','Roboter',18,53,32,18,58,55,
1,'lwFq','Stanzen',18,58,55,19,10,12,
1,'lwFq','Roboter',19,10,12,19,27,36,
1,'lwFq','Stanzen',19,27,36,20,1,33,
1,'lwFq','Roboter',20,1,33,20,18,16,
1,'lwFq','Stanzen',20,18,16,21,1,33,
1,'lwFq','Roboter',21,1,33,21,18,54,
1,'lwFq','Roboter',21,22,13,21,32,16,
1,'lwFq','Stanzen',21,32,16,21,40,53,
1,'lwFq','Funken',21,44,54,22,0,56,
1,'lwFq','Roboter',22,11,33,22,16,56,
1,'lwFq','Funken',22,19,34,22,32,13,
1,'lwFq','Roboter',22,32,13,22,45,36,
1,'lwFq','Funken',22,48,54,22,57,36,
1,'lwFq','Stanzen',22,57,36,23,26,53,
1,'lwFq','Stanzen',23,30,56,23,50,13,
1,'lwFq','Roboter',23,50,13,23,57,36
