type,tag,location,startH,startM,startS,endH,endM,endS
1,'Xgti','Funken',0,57,37,1,47,39,
1,'Xgti','Funken',1,49,38,1,57,39,
1,'Xgti','Funken',1,57,39,2,5,38,
1,'Xgti','Funken',2,5,38,2,43,39,
1,'Xgti','Funken',2,47,38,3,19,40,
1,'Xgti','Funken',3,23,38,3,35,40,
1,'Xgti','Funken',3,35,40,3,41,38,
1,'Xgti','Funken',3,41,38,3,59,40,
1,'Xgti','Funken',4,1,38,4,13,36,
1,'Xgti','Roboter',4,13,36,5,3,38,
1,'Xgti','Funken',5,3,38,5,21,37,
1,'Xgti','Roboter',5,21,37,5,29,38,
1,'Xgti','Roboter',5,33,37,6,45,38,
1,'Xgti','Roboter',6,49,37,7,5,38,
1,'Xgti','Funken',7,5,38,7,17,37,
1,'Xgti','Roboter',7,17,37,8,53,38,
1,'Xgti','Funken',8,53,38,9,33,40,
1,'Xgti','Funken',9,33,40,9,43,39,
1,'Xgti','Funken',9,43,39,9,57,1,
1,'Xgti','Funken',9,57,1,10,2,59,
1,'Xgti','Funken',10,2,59,10,21,1,
1,'Xgti','Funken',10,24,59,10,37,1,
1,'Xgti','Funken',10,37,1,11,8,59,
1,'Xgti','Funken',11,8,59,11,29,1,
1,'Xgti','Funken',11,29,1,12,14,59,
1,'Xgti','Funken',12,14,59,12,21,1,
1,'Xgti','Funken',12,21,1,12,48,59,
1,'Xgti','Funken',12,48,59,12,57,1,
1,'Xgti','Funken',12,57,1,13,40,59,
1,'Xgti','Funken',13,43,1,14,4,59,
1,'Xgti','Roboter',14,6,58,14,15,1,
1,'Xgti','Funken',14,15,1,14,20,59,
1,'Xgti','Funken',14,28,59,14,35,1,
1,'Xgti','Funken',14,35,1,14,42,59,
1,'Xgti','Funken',14,42,59,15,1,1,
1,'Xgti','Funken',15,7,1,16,56,59,
1,'Xgti','Funken',16,56,59,17,39,2,
1,'Xgti','Funken',17,39,2,17,51,0,
1,'Xgti','Funken',17,53,2,18,15,0,
1,'Xgti','Funken',18,15,0,19,23,3,
1,'Xgti','Funken',19,23,3,19,29,0,
1,'Xgti','Funken',19,29,0,20,11,3,
1,'Xgti','Funken',20,11,3,20,25,0,
1,'Xgti','Funken',20,25,0,20,51,3,
1,'Xgti','Funken',20,51,3,21,7,0,
1,'Xgti','Funken',21,7,0,21,49,3,
1,'Xgti','Funken',21,49,3,22,11,0,
1,'Xgti','Funken',22,11,0,22,24,56,
1,'Xgti','Stanzen',22,24,56,22,33,0,
1,'Xgti','Stanzen',22,34,56,23,5,3,
1,'Xgti','Funken',23,5,3,23,13,0,
1,'Xgti','Stanzen',23,16,56,23,27,3,
