type,tag,location,startH,startM,startS,endH,endM,endS
0,'n4gK','Roboter',0,3,36,0,11,37,
0,'n4gK','Roboter',0,13,36,0,49,37,
0,'n4gK','Funken',0,49,37,1,7,36,
0,'ofEz','Roboter',0,56,16,1,19,39,
0,'Xgti','Funken',0,57,37,1,47,39,
0,'n4gK','Roboter',1,7,36,1,19,38,
0,'n4gK','Roboter',1,21,36,1,28,19,
0,'ofEz','Roboter',1,24,16,3,32,20,
0,'pMaq','Funken',1,26,19,1,52,18,
0,'n4gK','Funken',1,31,37,2,15,36,
0,'lwFq','Roboter',1,49,36,4,25,40,
0,'Xgti','Funken',1,49,38,1,57,39,
0,'pMaq','Funken',1,52,18,5,20,57,
0,'Xgti','Funken',1,57,39,2,5,38,
0,'Xgti','Funken',2,5,38,2,43,39,
0,'Hf6q','Funken',2,5,39,2,15,36,
0,'Hf6q','Roboter',2,15,36,2,33,39,
0,'n4gK','Funken',2,17,38,2,23,36,
0,'n4gK','Roboter',2,23,36,2,33,38,
0,'n4gK','Funken',2,33,38,3,39,36,
0,'LLz2','Dornerei',2,41,39,5,17,1,
0,'Xgti','Funken',2,47,38,3,19,40,
0,'Hf6q','Funken',2,47,39,3,8,16,
0,'Hf6q','Funken',3,9,40,3,34,16,
0,'Xgti','Funken',3,23,38,3,35,40,
0,'ox0d','Stanzen',3,27,41,5,9,38,
0,'Hf6q','Roboter',3,34,16,3,52,20,
0,'ofEz','Roboter',3,35,36,7,2,18,
0,'Xgti','Funken',3,35,40,3,41,38,
0,'n4gK','Roboter',3,39,36,3,45,38,
0,'Xgti','Funken',3,41,38,3,59,40,
0,'n4gK','Funken',3,45,38,4,25,40,
0,'Hf6q','Funken',3,52,20,4,3,36,
0,'Xgti','Funken',4,1,38,4,13,36,
0,'Hf6q','Roboter',4,3,36,4,53,40,
0,'Xgti','Roboter',4,13,36,5,3,38,
0,'lwFq','Roboter',4,27,37,4,41,40,
0,'n4gK','Roboter',4,33,37,4,39,40,
0,'n4gK','Funken',4,41,38,4,56,17,
0,'lwFq','Roboter',4,43,37,5,7,40,
0,'n4gK','Roboter',4,59,37,5,5,38,
0,'Xgti','Funken',5,3,38,5,21,37,
0,'Hf6q','Funken',5,5,38,5,18,20,
0,'n4gK','Funken',5,5,38,5,12,17,
0,'lwFq','Funken',5,7,40,5,33,37,
0,'GmK6','Stanzen',5,11,1,5,56,57,
0,'n4gK','Roboter',5,12,17,5,49,40,
0,'ox0d','Funken',5,15,38,5,35,1,
0,'LLz2','Stanzen',5,17,1,5,23,39,
0,'Hf6q','Funken',5,18,20,6,33,37,
0,'pMaq','Roboter',5,20,57,7,2,20,
0,'Xgti','Roboter',5,21,37,5,29,38,
0,'LLz2','Dornerei',5,23,39,5,55,2,
0,'lwFq','Roboter',5,33,37,6,7,40,
0,'Xgti','Roboter',5,33,37,6,45,38,
0,'ox0d','Stanzen',5,35,1,6,21,38,
0,'LLz2','Stanzen',5,55,2,6,7,39,
0,'GmK6','Roboter',5,56,57,16,49,39,
0,'n4gK','Funken',6,3,40,6,34,57,
0,'lwFq','Funken',6,7,40,6,13,37,
0,'LLz2','Dornerei',6,11,39,11,18,54,
0,'lwFq','Roboter',6,19,37,7,1,40,
0,'ox0d','Funken',6,21,38,6,41,2,
0,'n4gK','Roboter',6,34,57,6,55,40,
0,'Hf6q','Funken',6,37,38,7,40,17,
0,'ox0d','Stanzen',6,41,2,6,55,39,
0,'Xgti','Roboter',6,49,37,7,5,38,
0,'ox0d','Dornerei',6,55,39,7,1,2,
0,'ox0d','Stanzen',7,1,2,7,47,38,
0,'pMaq','Roboter',7,3,37,7,9,40,
0,'ofEz','Roboter',7,4,17,8,31,2,
0,'n4gK','Funken',7,4,20,7,17,37,
0,'lwFq','Roboter',7,5,37,7,29,40,
0,'Xgti','Funken',7,5,38,7,17,37,
0,'pMaq','Funken',7,9,40,7,46,57,
0,'Xgti','Roboter',7,17,37,8,53,38,
0,'lwFq','Roboter',7,31,37,7,51,38,
0,'n4gK','Roboter',7,37,37,7,43,40,
0,'Hf6q','Roboter',7,40,17,7,53,2,
0,'n4gK','Funken',7,43,40,7,53,37,
0,'pMaq','Roboter',7,46,57,8,23,0,
0,'ox0d','Stanzen',7,49,2,8,23,40,
0,'lwFq','Funken',7,51,38,8,21,40,
0,'Hf6q','Stanzen',7,53,2,8,2,17,
0,'n4gK','Roboter',7,53,37,8,3,40,
0,'Hf6q','Roboter',8,2,17,8,14,22,
0,'n4gK','Funken',8,3,40,8,25,37,
0,'Hf6q','Stanzen',8,14,22,8,46,18,
0,'lwFq','Funken',8,21,40,8,35,37,
0,'pMaq','Funken',8,23,0,8,52,57,
0,'ox0d','Stanzen',8,25,2,9,23,40,
0,'n4gK','Funken',8,31,38,8,41,40,
0,'ofEz','Roboter',8,34,17,10,11,33,
0,'lwFq','Roboter',8,35,37,8,54,19,
0,'n4gK','Funken',8,43,38,8,49,37,
0,'Hf6q','Funken',8,46,18,8,56,57,
0,'n4gK','Roboter',8,49,37,9,7,39,
0,'pMaq','Roboter',8,52,57,9,2,20,
