type,tag,location,startH,startM,startS,endH,endM,endS
1,'n4gK','Funken',0,14,24,0,36,26,
1,'n4gK','Funken',0,36,26,0,42,44,
1,'n4gK','Roboter',0,42,44,1,2,24,
1,'n4gK','Roboter',1,6,44,2,6,24,
1,'n4gK','Funken',2,6,24,2,18,44,
1,'n4gK','Roboter',2,18,44,2,30,24,
1,'n4gK','Funken',2,36,24,2,49,24,
1,'n4gK','Roboter',2,52,44,3,10,24,
1,'n4gK','Funken',3,10,24,3,30,44,
1,'n4gK','Funken',3,34,24,4,2,45,
1,'n4gK','Roboter',4,2,45,4,16,24,
1,'n4gK','Roboter',4,19,25,4,42,25,
1,'n4gK','Funken',4,42,25,4,49,25,
1,'n4gK','Funken',4,54,25,5,30,45,
1,'n4gK','Roboter',5,39,25,5,47,45,
1,'n4gK','Funken',5,47,45,7,15,47,
1,'n4gK','Funken',7,17,45,7,36,5,
1,'n4gK','Roboter',7,36,5,7,51,45,
1,'n4gK','Funken',7,51,45,8,24,5,
1,'n4gK','Funken',8,25,45,9,16,10,
