type,tag,location,startH,startM,startS,endH,endM,endS
1,'ofEz','Funken',6,1,20,6,7,18,
1,'ofEz','Stanzen',6,7,18,7,5,20,
1,'ofEz','Stanzen',7,7,18,7,37,20,
1,'ofEz','Funken',7,37,20,7,53,18,
1,'ofEz','Stanzen',7,53,18,8,5,20,
1,'ofEz','Funken',8,5,20,8,39,18,
1,'ofEz','Stanzen',8,39,18,8,57,20,
1,'ofEz','Funken',8,57,20,9,9,19,
1,'ofEz','Funken',9,11,20,9,53,19,
1,'ofEz','Stanzen',9,53,19,10,1,21,
1,'ofEz','Funken',10,1,21,10,11,19,
1,'ofEz','Stanzen',10,11,19,10,21,21,
1,'ofEz','Funken',10,21,21,11,21,19,
1,'ofEz','Funken',11,25,21,13,51,19,
1,'ofEz','Stanzen',13,51,19,13,59,21,
1,'ofEz','Funken',13,59,21,14,11,20,
1,'ofEz','Funken',14,13,21,14,23,20,
1,'ofEz','Stanzen',14,23,20,14,35,21,
1,'ofEz','Funken',14,35,21,14,43,20,
1,'ofEz','Stanzen',14,43,20,15,27,21,
1,'ofEz','Funken',15,27,21,16,29,20,
1,'ofEz','Stanzen',16,29,20,17,11,21,
1,'ofEz','Funken',17,11,21,20,43,21,
1,'ofEz','Stanzen',20,43,21,20,51,22,
1,'ofEz','Funken',20,51,22,21,15,21,
1,'ofEz','Stanzen',21,15,21,21,27,22,
1,'ofEz','Funken',21,27,22,21,59,21,
1,'ofEz','Stanzen',21,59,21,22,11,22,
1,'ofEz','Stanzen',22,13,21,22,55,22,
1,'ofEz','Funken',22,55,22,23,1,21,
1,'ofEz','Stanzen',23,1,21,23,37,22,
