type,tag,location,startH,startM,startS,endH,endM,endS
1,'Hf6q','Funken',0,24,13,0,32,49,
1,'Hf6q','Roboter',0,32,49,0,38,53,
1,'Hf6q','Funken',0,42,53,0,49,29,
1,'Hf6q','Funken',0,53,33,1,1,30,
1,'Hf6q','Roboter',1,1,30,1,10,53,
1,'Hf6q','Funken',1,10,53,1,22,50,
1,'Hf6q','Roboter',1,22,50,1,54,53,
1,'Hf6q','Funken',1,54,53,2,0,2,
1,'Hf6q','Funken',2,2,13,2,17,30,
1,'Hf6q','Roboter',2,17,30,2,29,22,
1,'Hf6q','Roboter',2,45,30,3,2,53,
1,'Hf6q','Funken',3,2,53,3,12,10,
1,'Hf6q','Roboter',3,18,50,4,7,22,
1,'Hf6q','Stanzen',4,7,22,4,20,13,
1,'Hf6q','Funken',4,26,53,4,32,50,
1,'Hf6q','Funken',4,35,33,4,51,28,
1,'Hf6q','Stanzen',4,51,28,5,0,50,
1,'Hf6q','Roboter',5,0,50,5,10,53,
1,'Hf6q','Roboter',5,12,50,5,18,53,
1,'Hf6q','Stanzen',5,18,53,6,14,50,
1,'Hf6q','Funken',6,16,54,7,9,49,
1,'Hf6q','Funken',7,12,54,7,30,29,
1,'Hf6q','Funken',7,33,34,8,10,30,
1,'Hf6q','Funken',8,13,34,8,24,30,
1,'Hf6q','Stanzen',8,27,50,8,34,10,
1,'Hf6q','Roboter',8,34,10,8,39,50,
1,'Hf6q','Stanzen',8,39,50,9,45,30,
1,'Hf6q','Roboter',9,45,30,9,52,4,
1,'Hf6q','Funken',9,52,4,10,13,31,
1,'Hf6q','Roboter',10,13,31,14,31,35,
1,'Hf6q','Roboter',14,32,51,14,43,35,
1,'Hf6q','Funken',14,43,35,14,52,11,
1,'Hf6q','Roboter',14,52,11,15,4,55,
1,'Hf6q','Funken',15,8,44,15,47,35,
1,'Hf6q','Funken',15,47,35,16,1,31,
1,'Hf6q','Roboter',16,1,31,16,10,15,
1,'Hf6q','Funken',16,10,15,16,30,51,
1,'Hf6q','Roboter',16,30,51,16,44,15,
1,'Hf6q','Funken',16,44,15,17,10,51,
1,'Hf6q','Roboter',17,16,51,17,38,55,
1,'Hf6q','Funken',17,48,15,18,18,51,
1,'Hf6q','Roboter',18,18,51,18,24,15,
1,'Hf6q','Roboter',18,27,31,18,42,55,
1,'Hf6q','Funken',18,42,55,18,58,52,
1,'Hf6q','Roboter',18,58,52,20,13,25,
1,'Hf6q','Funken',20,13,25,20,19,32,
1,'Hf6q','Roboter',20,19,32,21,16,56,
1,'Hf6q','Roboter',21,18,52,21,35,36,
1,'Hf6q','Funken',21,35,36,21,55,32,
1,'Hf6q','Roboter',21,55,32,22,13,36,
1,'Hf6q','Funken',22,13,36,22,22,12,
1,'Hf6q','Roboter',22,22,12,23,8,16,
1,'Hf6q','Funken',23,8,16,23,15,32,
1,'Hf6q','Roboter',23,15,32,23,22,56,
1,'Hf6q','Roboter',23,26,52,23,47,36,
1,'Hf6q','Funken',23,47,36,23,54,12,
