type,tag,location,startH,startM,startS,endH,endM,endS
1,'LLz2','Dornerei',1,32,56,1,44,42,
1,'LLz2','Dornerei',1,48,56,2,38,42,
1,'LLz2','Dornerei',2,40,57,3,24,42,
1,'LLz2','Stanzen',3,24,42,3,46,57,
1,'LLz2','Dornerei',3,46,57,3,58,42,
1,'LLz2','Dornerei',4,0,57,4,20,42,
1,'LLz2','Dornerei',4,24,57,9,25,50,
1,'LLz2','Stanzen',9,25,50,9,31,42,
1,'LLz2','Dornerei',9,31,42,9,47,50,
1,'LLz2','Stanzen',9,47,50,9,53,42,
1,'LLz2','Dornerei',9,53,42,10,25,50,
1,'LLz2','Stanzen',10,25,50,10,31,42,
1,'LLz2','Dornerei',10,31,42,11,9,50,
1,'LLz2','Dornerei',11,11,42,11,37,50,
1,'LLz2','Dornerei',11,39,42,11,55,50,
1,'LLz2','Dornerei',11,57,43,12,3,50,
1,'LLz2','Stanzen',12,3,50,12,17,43,
1,'LLz2','Dornerei',12,17,43,13,1,51,
1,'LLz2','Dornerei',13,3,45,13,11,51,
1,'LLz2','Stanzen',13,11,51,13,50,57,
1,'LLz2','Dornerei',13,50,57,14,5,11,
1,'LLz2','Dornerei',14,6,57,14,13,11,
1,'LLz2','Stanzen',14,13,11,14,20,57,
1,'LLz2','Dornerei',14,20,57,14,31,11,
1,'LLz2','Stanzen',14,31,11,14,54,57,
1,'LLz2','Dornerei',14,54,57,15,11,11,
1,'LLz2','Stanzen',15,11,11,15,20,57,
1,'LLz2','Dornerei',15,20,57,15,57,11,
1,'LLz2','Stanzen',15,57,11,16,10,57,
1,'LLz2','Stanzen',16,13,11,16,34,58,
1,'LLz2','Dornerei',16,34,58,16,43,11,
1,'LLz2','Dornerei',16,44,58,17,17,11,
1,'LLz2','Dornerei',17,18,58,17,59,11,
1,'LLz2','Dornerei',18,0,58,18,19,12,
1,'LLz2','Dornerei',18,20,58,18,31,12,
1,'LLz2','Stanzen',18,31,12,18,52,58,
1,'LLz2','Stanzen',18,55,12,19,10,58,
1,'LLz2','Dornerei',19,10,58,19,43,12,
1,'LLz2','Stanzen',19,43,12,20,8,59,
1,'LLz2','Stanzen',20,13,12,20,18,59,
1,'LLz2','Stanzen',20,21,12,20,26,59,
1,'LLz2','Stanzen',20,29,12,20,44,59,
1,'LLz2','Dornerei',20,44,59,21,9,12,
1,'LLz2','Stanzen',21,9,12,21,22,59,
1,'LLz2','Stanzen',21,27,12,22,20,59,
1,'LLz2','Dornerei',22,20,59,22,27,12,
1,'LLz2','Stanzen',22,27,12,23,12,59,
1,'LLz2','Dornerei',23,12,59,23,35,12,
1,'LLz2','Stanzen',23,35,12,23,42,59,
1,'LLz2','Dornerei',23,42,59,23,55,12,
