type,tag,location,startH,startM,startS,endH,endM,endS
1,'ox0d','Funken',0,1,22,0,11,22,
1,'ox0d','Funken',0,11,22,0,23,33,
1,'ox0d','Funken',0,23,33,1,0,42,
1,'ox0d','Funken',1,2,53,2,36,43,
1,'ox0d','Funken',2,36,43,2,44,53,
1,'ox0d','Funken',2,50,53,3,8,43,
1,'ox0d','Funken',3,8,43,3,26,53,
1,'ox0d','Funken',3,26,53,3,32,43,
1,'ox0d','Funken',3,32,43,3,38,53,
1,'ox0d','Funken',3,38,53,4,8,43,
1,'ox0d','Funken',4,8,43,4,16,53,
1,'ox0d','Funken',4,16,53,4,30,43,
1,'ox0d','Funken',4,32,53,4,44,43,
1,'ox0d','Funken',4,44,43,4,50,53,
1,'ox0d','Funken',4,56,43,5,10,53,
1,'ox0d','Funken',5,10,53,5,26,43,
1,'ox0d','Funken',5,26,43,5,32,54,
1,'ox0d','Funken',5,32,54,5,38,43,
1,'ox0d','Funken',5,40,53,6,22,43,
1,'ox0d','Funken',6,24,54,7,27,30,
1,'ox0d','Roboter',7,27,30,7,47,34,
1,'ox0d','Funken',7,51,34,10,47,31,
1,'ox0d','Roboter',10,47,31,11,11,34,
1,'ox0d','Funken',11,11,34,11,29,24,
1,'ox0d','Funken',11,31,34,11,37,31,
1,'ox0d','Roboter',11,37,31,11,43,24,
1,'ox0d','Funken',11,47,24,11,59,35,
1,'ox0d','Funken',11,59,35,12,21,31,
1,'ox0d','Roboter',12,21,31,12,35,24,
1,'ox0d','Funken',12,41,35,12,57,31,
1,'ox0d','Funken',12,59,35,13,19,31,
1,'ox0d','Roboter',13,19,31,13,31,35,
1,'ox0d','Funken',13,31,35,13,42,11,
1,'ox0d','Funken',13,46,55,13,53,24,
1,'ox0d','Funken',13,53,24,14,0,55,
1,'ox0d','Funken',14,0,55,14,6,51,
1,'ox0d','Funken',14,8,55,14,16,51,
1,'ox0d','Roboter',14,16,51,14,23,24,
1,'ox0d','Roboter',14,27,31,14,50,55,
1,'ox0d','Funken',14,50,55,15,2,51,
1,'ox0d','Roboter',15,2,51,18,21,25,
1,'ox0d','Funken',18,25,25,18,38,55,
1,'ox0d','Funken',18,43,25,18,58,56,
1,'ox0d','Funken',18,58,56,19,14,52,
1,'ox0d','Roboter',19,14,52,19,28,56,
1,'ox0d','Funken',19,28,56,19,47,25,
1,'ox0d','Funken',19,47,25,19,58,52,
1,'ox0d','Roboter',19,58,52,20,32,56,
1,'ox0d','Funken',20,32,56,20,58,52,
1,'ox0d','Roboter',20,58,52,21,14,56,
1,'ox0d','Funken',21,14,56,21,50,52,
1,'ox0d','Roboter',21,50,52,21,58,56,
1,'ox0d','Funken',21,58,56,22,8,52,
1,'ox0d','Roboter',22,8,52,22,14,56,
1,'ox0d','Funken',22,14,56,22,42,52,
1,'ox0d','Roboter',22,42,52,22,50,56,
1,'ox0d','Roboter',22,54,52,23,16,56,
1,'ox0d','Funken',23,16,56,23,22,52,
1,'ox0d','Roboter',23,22,52,23,46,56,
