type,tag,location,startH,startM,startS,endH,endM,endS
1,'pMaq','Roboter',0,0,49,0,29,22,
1,'pMaq','Roboter',0,30,49,1,29,22,
1,'pMaq','Roboter',1,30,50,2,51,22,
1,'pMaq','Roboter',2,55,30,4,40,43,
1,'pMaq','Stanzen',4,46,43,5,0,50,
1,'pMaq','Roboter',5,0,50,5,17,33,
1,'pMaq','Stanzen',5,17,33,5,27,30,
1,'pMaq','Roboter',5,27,30,6,2,14,
1,'pMaq','Funken',6,2,14,6,7,30,
1,'pMaq','Roboter',6,7,30,6,20,54,
1,'pMaq','Funken',6,20,54,6,33,30,
1,'pMaq','Roboter',6,33,30,6,47,49,
1,'pMaq','Stanzen',6,47,49,6,53,30,
1,'pMaq','Roboter',6,53,30,7,13,49,
1,'pMaq','Stanzen',7,28,29,8,7,30,
1,'pMaq','Roboter',8,7,30,8,18,30,
1,'pMaq','Roboter',8,27,30,8,35,50,
1,'pMaq','Stanzen',8,35,50,8,45,30,
1,'pMaq','Roboter',8,45,30,9,7,50,
1,'pMaq','Stanzen',9,15,50,9,21,30,
1,'pMaq','Roboter',9,21,30,9,57,10,
1,'pMaq','Stanzen',9,57,10,10,6,51,
1,'pMaq','Roboter',10,6,51,10,31,50,
1,'pMaq','Stanzen',10,31,50,10,37,31,
1,'pMaq','Roboter',10,37,31,10,44,30,
1,'pMaq','Roboter',10,46,11,10,55,50,
1,'pMaq','Stanzen',10,55,50,11,3,31,
1,'pMaq','Roboter',11,3,31,11,15,50,
1,'pMaq','Stanzen',11,15,50,12,6,51,
1,'pMaq','Roboter',12,6,51,13,27,11,
1,'pMaq','Roboter',13,27,31,14,28,55,
1,'pMaq','Roboter',14,32,51,14,56,31,
1,'pMaq','Stanzen',14,56,31,15,2,51,
1,'pMaq','Roboter',15,8,51,15,53,35,
1,'pMaq','Funken',15,53,35,16,4,51,
1,'pMaq','Stanzen',16,8,31,16,16,51,
1,'pMaq','Roboter',16,16,51,16,59,51,
1,'pMaq','Roboter',17,0,51,17,8,31,
1,'pMaq','Stanzen',17,8,31,17,16,55,
1,'pMaq','Roboter',17,22,11,17,33,51,
1,'pMaq','Roboter',17,36,11,17,43,11,
1,'pMaq','Stanzen',17,43,11,17,50,11,
1,'pMaq','Roboter',17,55,31,18,4,31,
1,'pMaq','Stanzen',18,4,31,18,9,31,
1,'pMaq','Roboter',18,9,31,20,10,32,
1,'pMaq','Roboter',20,10,52,20,27,12,
1,'pMaq','Roboter',20,28,52,21,17,12,
1,'pMaq','Roboter',21,21,32,21,34,56,
1,'pMaq','Roboter',21,36,52,21,57,52,
1,'pMaq','Stanzen',22,3,52,22,18,52,
