type,tag,location,startH,startM,startS,endH,endM,endS
1,'pMaq','Funken',9,12,14,9,21,31,
1,'pMaq','Roboter',9,21,31,9,35,32,
1,'pMaq','Funken',9,38,14,9,49,31,
1,'pMaq','Roboter',9,49,31,9,55,34,
1,'pMaq','Funken',9,59,34,10,23,31,
1,'pMaq','Roboter',10,23,31,11,37,34,
1,'pMaq','Roboter',11,39,31,11,56,54,
1,'pMaq','Roboter',12,0,51,12,36,13,
1,'pMaq','Roboter',12,37,31,12,53,33,
1,'pMaq','Roboter',12,57,31,13,29,33,
1,'pMaq','Funken',13,29,33,13,59,32,
1,'pMaq','Roboter',13,59,32,16,37,33,
1,'pMaq','Roboter',16,41,32,16,48,13,
1,'pMaq','Roboter',16,49,32,16,54,53,
1,'pMaq','Funken',16,54,53,17,6,12,
1,'pMaq','Roboter',17,6,12,17,14,53,
1,'pMaq','Funken',17,14,53,17,20,52,
1,'pMaq','Funken',17,22,53,17,29,32,
1,'pMaq','Roboter',17,29,32,17,37,33,
1,'pMaq','Funken',17,37,33,17,54,52,
1,'pMaq','Roboter',17,54,52,18,5,33,
1,'pMaq','Funken',18,5,33,18,13,32,
1,'pMaq','Roboter',18,13,32,19,25,36,
1,'pMaq','Funken',19,25,36,20,12,53,
1,'pMaq','Roboter',20,12,53,20,22,54,
1,'pMaq','Funken',20,22,54,20,51,33,
1,'pMaq','Roboter',20,51,33,21,30,14,
