type,tag,location,startH,startM,startS,endH,endM,endS
1,'QuLX','Roboter',0,50,13,2,20,17,
1,'QuLX','Roboter',2,21,34,3,2,57,
1,'QuLX','Roboter',3,5,34,3,19,37,
1,'QuLX','Roboter',3,23,34,3,50,57,
1,'QuLX','Roboter',3,51,34,4,15,37,
1,'QuLX','Roboter',4,21,34,4,35,37,
1,'QuLX','Stanzen',4,35,37,4,46,14,
1,'QuLX','Stanzen',4,49,37,5,2,15,
1,'QuLX','Roboter',5,4,14,5,9,35,
1,'QuLX','Funken',5,9,35,5,17,34,
1,'QuLX','Roboter',5,17,34,5,30,15,
1,'QuLX','Funken',5,30,15,5,39,37,
1,'QuLX','Funken',5,39,37,5,47,34,
1,'QuLX','Roboter',5,51,34,6,5,34,
