type,tag,location,startH,startM,startS,endH,endM,endS
0,'n4gK','Roboter',0,4,13,10,29,36,
0,'lwFq','Roboter',0,14,13,0,26,14,
0,'Hf6q','Funken',0,25,34,0,35,36,
0,'ofEz','Funken',0,25,36,0,35,33,
0,'lwFq','Funken',0,26,14,0,34,56,
0,'ofEz','Roboter',0,35,33,2,43,37,
0,'lwFq','Funken',0,35,34,0,42,56,
0,'Hf6q','Funken',0,35,36,0,43,34,
0,'Hf6q','Funken',0,43,34,0,59,33,
0,'lwFq','Funken',0,44,54,1,12,53,
0,'QuLX','Roboter',0,50,13,2,20,17,
0,'Hf6q','Roboter',0,59,33,1,19,34,
0,'lwFq','Roboter',1,12,53,1,33,37,
0,'Hf6q','Funken',1,19,34,1,43,36,
0,'lwFq','Stanzen',1,33,37,1,50,55,
0,'Hf6q','Funken',1,47,35,2,57,37,
0,'lwFq','Stanzen',1,52,57,2,2,15,
0,'lwFq','Funken',2,2,15,2,12,17,
0,'lwFq','Stanzen',2,12,17,2,56,54,
0,'oiFK','Stanzen',2,13,37,18,4,15,
0,'QuLX','Roboter',2,21,34,3,2,57,
0,'ofEz','Roboter',2,50,14,3,1,35,
0,'lwFq','Roboter',2,56,54,3,20,15,
0,'Hf6q','Funken',3,1,35,3,9,37,
0,'QuLX','Roboter',3,5,34,3,19,37,
0,'ofEz','Roboter',3,6,14,3,21,35,
0,'Hf6q','Funken',3,9,37,3,15,35,
0,'lwFq','Funken',3,20,15,3,39,37,
0,'ofEz','Roboter',3,23,34,3,35,37,
0,'QuLX','Roboter',3,23,34,3,50,57,
0,'Hf6q','Funken',3,23,35,3,29,37,
0,'Hf6q','Funken',3,33,35,3,51,37,
0,'lwFq','Stanzen',3,39,37,4,2,55,
0,'ofEz','Roboter',3,42,14,3,50,57,
0,'ofEz','Stanzen',3,50,57,3,57,34,
0,'QuLX','Roboter',3,51,34,4,15,37,
0,'Hf6q','Funken',3,53,35,4,25,37,
0,'lwFq','Funken',4,2,55,4,10,57,
0,'ofEz','Roboter',4,7,34,5,23,37,
0,'lwFq','Stanzen',4,10,57,4,28,55,
0,'QuLX','Roboter',4,21,34,4,35,37,
0,'Hf6q','Funken',4,25,37,4,33,35,
0,'lwFq','Funken',4,28,55,4,48,54,
0,'Hf6q','Funken',4,33,35,4,45,37,
0,'QuLX','Stanzen',4,35,37,4,46,14,
0,'GmK6','Funken',4,36,55,5,4,14,
