type,tag,location,startH,startM,startS,endH,endM,endS
1,'lwFq','Roboter',1,49,36,4,25,40,
1,'lwFq','Roboter',4,27,37,4,41,40,
1,'lwFq','Roboter',4,43,37,5,7,40,
1,'lwFq','Funken',5,7,40,5,33,37,
1,'lwFq','Roboter',5,33,37,6,7,40,
1,'lwFq','Funken',6,7,40,6,13,37,
1,'lwFq','Roboter',6,19,37,7,1,40,
1,'lwFq','Roboter',7,5,37,7,29,40,
1,'lwFq','Roboter',7,31,37,7,51,38,
1,'lwFq','Funken',7,51,38,8,21,40,
1,'lwFq','Funken',8,21,40,8,35,37,
1,'lwFq','Roboter',8,35,37,8,54,19,
1,'lwFq','Roboter',8,57,37,9,9,40,
1,'lwFq','Funken',9,9,40,9,25,37,
1,'lwFq','Roboter',9,25,37,9,52,20,
1,'lwFq','Funken',9,52,20,9,58,57,
1,'lwFq','Roboter',10,2,57,10,9,1,
1,'lwFq','Funken',10,15,1,10,22,57,
1,'lwFq','Roboter',10,22,57,10,37,1,
1,'lwFq','Funken',10,37,1,11,6,57,
1,'lwFq','Roboter',11,6,57,11,15,1,
1,'lwFq','Funken',11,15,1,11,20,57,
1,'lwFq','Roboter',11,20,57,11,29,1,
1,'lwFq','Funken',11,29,1,11,34,57,
1,'lwFq','Roboter',11,38,57,12,29,1,
1,'lwFq','Funken',12,29,1,12,42,57,
1,'lwFq','Roboter',12,42,57,14,51,1,
1,'lwFq','Roboter',14,52,58,15,3,1,
1,'lwFq','Roboter',15,6,58,16,1,2,
1,'lwFq','Funken',16,1,2,16,6,58,
1,'lwFq','Roboter',16,6,58,17,39,2,
1,'lwFq','Roboter',17,40,58,17,59,2,
1,'lwFq','Roboter',18,0,58,18,7,0,
1,'lwFq','Roboter',18,8,58,18,17,2,
1,'lwFq','Roboter',18,19,38,19,11,3,
1,'lwFq','Funken',19,11,3,19,18,58,
1,'lwFq','Roboter',19,18,58,20,33,3,
1,'lwFq','Roboter',20,39,38,21,25,43,
1,'lwFq','Roboter',21,26,58,22,17,43,
1,'lwFq','Funken',22,17,43,22,23,39,
1,'lwFq','Roboter',22,23,39,22,49,0,
1,'lwFq','Funken',22,49,0,22,56,59,
