type,tag,location,startH,startM,startS,endH,endM,endS
1,'LLz2','Stanzen',0,38,20,0,46,48,
1,'LLz2','Dornerei',0,46,48,0,54,20,
1,'LLz2','Stanzen',0,54,20,4,22,49,
1,'LLz2','Dornerei',4,22,49,5,45,53,
1,'LLz2','Stanzen',5,45,53,7,58,9,
1,'LLz2','Dornerei',7,58,9,8,19,53,
1,'LLz2','Stanzen',8,19,53,8,46,9,
1,'LLz2','Stanzen',8,47,53,20,58,11,
1,'LLz2','Dornerei',20,58,11,21,7,58,
1,'LLz2','Stanzen',21,7,58,21,16,11,
1,'LLz2','Dornerei',21,16,11,21,37,57,
1,'LLz2','Stanzen',21,37,57,21,44,11,
1,'LLz2','Dornerei',21,44,11,21,55,57,
1,'LLz2','Dornerei',22,0,11,22,21,57,
