type,tag,location,startH,startM,startS,endH,endM,endS
1,'ofEz','Stanzen',0,16,20,0,22,24,
1,'ofEz','Funken',0,22,24,3,2,21,
1,'ofEz','Funken',3,4,24,3,18,21,
1,'ofEz','Stanzen',3,18,21,3,28,24,
1,'ofEz','Funken',3,28,24,6,1,53,
1,'ofEz','Funken',6,5,45,6,21,53,
1,'ofEz','Stanzen',6,21,53,6,47,45,
1,'ofEz','Funken',6,47,45,7,21,53,
1,'ofEz','Stanzen',7,21,53,7,53,45,
1,'ofEz','Stanzen',7,55,53,9,55,45,
1,'ofEz','Funken',9,55,45,10,1,54,
1,'ofEz','Stanzen',10,1,54,13,51,46,
1,'ofEz','Funken',13,51,46,14,13,54,
1,'ofEz','Stanzen',14,13,54,14,25,46,
1,'ofEz','Funken',14,25,46,14,43,55,
1,'ofEz','Funken',14,47,46,15,1,55,
1,'ofEz','Stanzen',15,1,55,15,31,46,
1,'ofEz','Funken',15,31,46,15,43,55,
1,'ofEz','Stanzen',15,43,55,16,1,46,
1,'ofEz','Funken',16,1,46,16,31,55,
1,'ofEz','Funken',16,33,46,16,43,55,
1,'ofEz','Funken',16,47,46,16,53,55,
1,'ofEz','Funken',16,57,46,17,5,55,
