type,tag,location,startH,startM,startS,endH,endM,endS
1,'ox0d','Dornerei',4,38,49,4,48,21,
1,'ox0d','Stanzen',4,48,21,5,22,49,
1,'ox0d','Dornerei',5,22,49,5,35,5,
1,'ox0d','Funken',5,35,5,6,21,47,
1,'ox0d','Funken',6,23,45,7,31,47,
1,'ox0d','Funken',7,31,47,7,39,45,
1,'ox0d','Funken',7,39,45,8,47,48,
1,'ox0d','Funken',8,51,45,12,45,48,
1,'ox0d','Funken',12,45,48,12,53,46,
1,'ox0d','Funken',12,53,46,14,31,48,
1,'ox0d','Funken',14,31,48,14,39,46,
1,'ox0d','Funken',14,39,46,15,13,48,
1,'ox0d','Funken',15,13,48,15,23,46,
1,'ox0d','Funken',15,23,46,15,41,49,
1,'ox0d','Funken',15,41,49,15,59,46,
1,'ox0d','Funken',15,59,46,16,5,49,
1,'ox0d','Funken',16,5,49,16,11,46,
1,'ox0d','Funken',16,11,46,16,35,49,
1,'ox0d','Funken',16,35,49,16,43,46,
1,'ox0d','Funken',16,43,46,17,31,49,
1,'ox0d','Funken',17,33,46,17,55,49,
1,'ox0d','Funken',17,55,49,18,13,47,
1,'ox0d','Funken',18,17,49,18,25,47,
1,'ox0d','Funken',18,29,49,18,47,47,
1,'ox0d','Funken',18,51,49,19,5,47,
1,'ox0d','Funken',19,5,47,19,11,49,
1,'ox0d','Funken',19,13,47,20,57,57,
1,'ox0d','Funken',21,1,47,21,11,57,
1,'ox0d','Stanzen',21,11,57,21,17,49,
1,'ox0d','Funken',21,19,48,21,55,50,
1,'ox0d','Funken',22,1,58,22,14,7,
1,'ox0d','Funken',22,16,2,22,21,57,
1,'ox0d','Roboter',22,28,7,23,0,46,
1,'ox0d','Roboter',23,11,27,23,19,59,
1,'ox0d','Roboter',23,21,27,23,31,19,
1,'ox0d','Funken',23,31,19,23,39,27,
