type,tag,location,startH,startM,startS,endH,endM,endS
1,'GmK6','Roboter',0,21,27,1,2,30,
1,'GmK6','Roboter',1,6,47,1,38,30,
1,'GmK6','Funken',1,38,30,1,52,7,
1,'GmK6','Roboter',1,52,7,1,58,30,
1,'GmK6','Funken',1,58,30,2,17,27,
1,'GmK6','Roboter',2,17,27,2,25,10,
1,'GmK6','Funken',2,25,10,2,32,7,
1,'GmK6','Funken',2,33,50,2,48,7,
1,'GmK6','Roboter',2,48,7,4,22,0,
1,'GmK6','Roboter',4,25,27,6,37,51,
1,'GmK6','Roboter',6,39,28,18,35,54,
1,'GmK6','Roboter',18,37,29,23,21,12,
1,'GmK6','Funken',23,21,12,23,55,29,
